NoOfCpus,Memory,IoRateLimits(mb/sec),FileSize,IoSize,NoOfThreads,ThreadMemory,ResponseTime(msec/op),Throughput(op/sec)
1,1g,10mb,10m,1k,1,200k,0.098,10051.562
1,1g,10mb,10m,1k,1,9m,0.096,10224.818
1,1g,10mb,10m,1k,100,200k,9.763,10226.420
1,1g,10mb,10m,1k,100,9m,9.734,10210.846
1,1g,10mb,10m,150k,1,200k,14.623,68.278
1,1g,10mb,10m,150k,1,9m,14.644,68.178
1,1g,10mb,10m,150k,100,200k,748.033,69.927
1,1g,10mb,10m,150k,100,9m,933.599,69.927
1,1g,10mb,1g,1k,1,200k,0.107,9245.498
1,1g,10mb,1g,1k,1,9m,0.106,9351.934
1,1g,10mb,1g,1k,100,200k,10.235,9764.953
1,1g,10mb,1g,1k,100,9m,10.378,9568.871
1,1g,10mb,1g,150k,1,200k,14.712,67.861
1,1g,10mb,1g,150k,1,9m,14.637,68.212
1,1g,10mb,1g,150k,100,200k,974.134,69.628
1,1g,10mb,1g,150k,100,9m,1027.019,69.761
1,1g,500mb,10m,1k,1,200k,0.027,35014.591
1,1g,500mb,10m,1k,1,9m,0.027,35523.096
1,1g,500mb,10m,1k,100,200k,2.985,33462.984
1,1g,500mb,10m,1k,100,9m,2.960,33582.351
1,1g,500mb,10m,150k,1,200k,0.633,1574.367
1,1g,500mb,10m,150k,1,9m,0.609,1637.469
1,1g,500mb,10m,150k,100,200k,52.923,1594.685
1,1g,500mb,10m,150k,100,9m,51.689,1593.336
1,1g,500mb,1g,1k,1,200k,0.042,22988.792
1,1g,500mb,1g,1k,1,9m,0.040,24114.238
1,1g,500mb,1g,1k,100,200k,4.457,22418.350
1,1g,500mb,1g,1k,100,9m,4.463,22140.630
1,1g,500mb,1g,150k,1,200k,1.028,970.795
1,1g,500mb,1g,150k,1,9m,0.984,1014.645
1,1g,500mb,1g,150k,100,200k,73.451,1019.350
1,1g,500mb,1g,150k,100,9m,75.784,1013.312
1,8g,10mb,10m,1k,1,200k,0.101,9742.690
1,8g,10mb,10m,1k,1,9m,0.097,10162.749
1,8g,10mb,10m,1k,100,200k,9.765,10223.976
1,8g,10mb,10m,1k,100,9m,9.815,10122.392
1,8g,10mb,10m,150k,1,200k,14.645,68.177
1,8g,10mb,10m,150k,1,9m,14.648,68.194
1,8g,10mb,10m,150k,100,200k,1008.812,69.927
1,8g,10mb,10m,150k,100,9m,1005.883,69.828
1,8g,10mb,1g,1k,1,200k,0.114,8690.218
1,8g,10mb,1g,1k,1,9m,0.104,9483.726
1,8g,10mb,1g,1k,100,200k,10.543,9479.031
1,8g,10mb,1g,1k,100,9m,10.467,9183.207
1,8g,10mb,1g,150k,1,200k,14.776,67.561
1,8g,10mb,1g,150k,1,9m,14.701,67.944
1,8g,10mb,1g,150k,100,200k,723.541,69.711
1,8g,10mb,1g,150k,100,9m,852.479,69.927
1,8g,500mb,10m,1k,1,200k,0.028,34589.639
1,8g,500mb,10m,1k,1,9m,0.027,35703.877
1,8g,500mb,10m,1k,100,200k,2.997,33331.062
1,8g,500mb,10m,1k,100,9m,2.991,33256.679
1,8g,500mb,10m,150k,1,200k,0.630,1582.884
1,8g,500mb,10m,150k,1,9m,0.608,1640.126
1,8g,500mb,10m,150k,100,200k,48.603,1623.709
1,8g,500mb,10m,150k,100,9m,46.067,1594.381
1,8g,500mb,1g,1k,1,200k,0.046,21042.285
1,8g,500mb,1g,1k,1,9m,0.041,23708.272
1,8g,500mb,1g,1k,100,200k,4.404,22688.291
1,8g,500mb,1g,1k,100,9m,4.533,21915.567
1,8g,500mb,1g,150k,1,200k,1.106,902.322
1,8g,500mb,1g,150k,1,9m,1.003,995.277
1,8g,500mb,1g,150k,100,200k,77.926,969.796
1,8g,500mb,1g,150k,100,9m,81.136,944.274
4,1g,10mb,10m,1k,1,200k,0.099,9947.443
4,1g,10mb,10m,1k,1,9m,0.097,10169.760
4,1g,10mb,10m,1k,100,200k,9.907,10077.014
4,1g,10mb,10m,1k,100,9m,9.919,10055.173
4,1g,10mb,10m,150k,1,200k,14.623,68.278
4,1g,10mb,10m,150k,1,9m,14.623,68.278
4,1g,10mb,10m,150k,100,200k,1082.300,69.929
4,1g,10mb,10m,150k,100,9m,1100.731,69.927
4,1g,10mb,1g,1k,1,200k,0.109,9092.827
4,1g,10mb,1g,1k,1,9m,0.103,9629.967
4,1g,10mb,1g,1k,100,200k,10.512,9507.560
4,1g,10mb,1g,1k,100,9m,10.493,9505.557
4,1g,10mb,1g,150k,1,200k,15.182,65.778
4,1g,10mb,1g,150k,1,9m,14.685,68.061
4,1g,10mb,1g,150k,100,200k,1067.257,69.827
4,1g,10mb,1g,150k,100,9m,1058.680,69.878
4,1g,500mb,10m,1k,1,200k,0.027,35088.742
4,1g,500mb,10m,1k,1,9m,0.027,35577.194
4,1g,500mb,10m,1k,100,200k,2.977,33547.060
4,1g,500mb,10m,1k,100,9m,2.954,33765.052
4,1g,500mb,10m,150k,1,200k,0.630,1580.941
4,1g,500mb,10m,150k,1,9m,0.607,1643.252
4,1g,500mb,10m,150k,100,200k,49.628,1586.368
4,1g,500mb,10m,150k,100,9m,50.543,1586.550
4,1g,500mb,1g,1k,1,200k,0.046,20861.879
4,1g,500mb,1g,1k,1,9m,0.043,22646.890
4,1g,500mb,1g,1k,100,200k,4.660,21444.510
4,1g,500mb,1g,1k,100,9m,4.611,21638.004
4,1g,500mb,1g,150k,1,200k,1.155,864.057
4,1g,500mb,1g,150k,1,9m,1.095,911.303
4,1g,500mb,1g,150k,100,200k,83.212,921.755
4,1g,500mb,1g,150k,100,9m,86.250,899.198
4,8g,10mb,10m,1k,1,200k,0.101,9768.663
4,8g,10mb,10m,1k,1,9m,0.097,10173.338
4,8g,10mb,10m,1k,100,200k,9.913,10070.138
4,8g,10mb,10m,1k,100,9m,9.865,10109.311
4,8g,10mb,10m,150k,1,200k,14.936,66.862
4,8g,10mb,10m,150k,1,9m,14.623,68.278
4,8g,10mb,10m,150k,100,200k,959.405,69.911
4,8g,10mb,10m,150k,100,9m,793.679,69.928
4,8g,10mb,1g,1k,1,200k,0.121,8182.392
4,8g,10mb,1g,1k,1,9m,0.100,9846.400
4,8g,10mb,1g,1k,100,200k,10.763,9285.712
4,8g,10mb,1g,1k,100,9m,10.590,9420.100
4,8g,10mb,1g,150k,1,200k,14.623,68.278
4,8g,10mb,1g,150k,1,9m,14.623,68.277
4,8g,10mb,1g,150k,100,200k,1023.381,69.828
4,8g,10mb,1g,150k,100,9m,984.029,69.927
4,8g,500mb,10m,1k,1,200k,0.026,36175.227
4,8g,500mb,10m,1k,1,9m,0.026,36807.525
4,8g,500mb,10m,1k,100,200k,2.845,35101.002
4,8g,500mb,10m,1k,100,9m,2.909,34284.474
4,8g,500mb,10m,150k,1,200k,0.597,1670.718
4,8g,500mb,10m,150k,1,9m,0.595,1675.979
4,8g,500mb,10m,150k,100,200k,53.172,1640.742
4,8g,500mb,10m,150k,100,9m,51.350,1596.985
4,8g,500mb,1g,1k,1,200k,0.043,22499.221
4,8g,500mb,1g,1k,1,9m,0.039,24697.168
4,8g,500mb,1g,1k,100,200k,4.255,23479.693
4,8g,500mb,1g,1k,100,9m,4.252,22919.379
4,8g,500mb,1g,150k,1,200k,1.007,990.536
4,8g,500mb,1g,150k,1,9m,0.984,994.225
4,8g,500mb,1g,150k,100,200k,77.811,1021.087
4,8g,500mb,1g,150k,100,9m,73.542,1027.570
